Movimentação na conta,Duração em meses,Histórico de pagamentos,Finalidade do crédito,Valor do crédito,Saldo em conta poupança/títulos,Emprego atual desde,Comprometimento de Renda,Estado civil e sexo,Outros devedores/garantidores,Residência atual desde,Bem/Propriedade Principal,Idade em anos,Parcelamento com terceiros,Forma de Moradia,Número de créditos existentes neste banco,Emprego,Número de dependentes,Possui Telefone,Trabalhador estrangeiro,Target
< 0 $,6,conta critica / dividas com terceiros,radio ou televisao,1169,n/há,>= 7 anos,4,masc-solteiro,n/há,4,imovel,67,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,48,pgto em dia neste banco (em aberto),radio ou televisao,5951,< 100 $,< 4 anos,2,femi-divorciadaoucasada,n/há,2,imovel,22,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,12,conta critica / dividas com terceiros,educacao,2096,< 100 $,< 7 anos,2,masc-solteiro,n/há,3,imovel,49,n/há,própria,1,empregado-semformacao-residente,2,não,sim,1
< 0 $,42,pgto em dia neste banco (em aberto),moveis e equipamentos,7882,< 100 $,< 7 anos,2,masc-solteiro,garantidor,4,poupança ou seguro de vida,45,n/há,gratuita,1,empregado-formadoouservidorpublico,2,não,sim,1
< 0 $,24,pgto em atraso no passado,carro novo,4870,< 100 $,< 4 anos,3,masc-solteiro,n/há,4,n/há,53,n/há,gratuita,2,empregado-formadoouservidorpublico,2,não,sim,2
n/há,36,pgto em dia neste banco (em aberto),educacao,9055,n/há,< 4 anos,2,masc-solteiro,n/há,4,n/há,35,n/há,gratuita,1,empregado-semformacao-residente,2,sim,sim,1
n/há,24,pgto em dia neste banco (em aberto),moveis e equipamentos,2835,>= 500 < 1000 $,>= 7 anos,3,masc-solteiro,n/há,4,poupança ou seguro de vida,53,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,36,pgto em dia neste banco (em aberto),carro usado,6948,< 100 $,< 4 anos,2,masc-solteiro,n/há,2,carro ou outros-quitado,35,n/há,aluguel,1,empresario-gerente-altaqualificacao,1,sim,sim,1
n/há,12,pgto em dia neste banco (em aberto),radio ou televisao,3059,>= 1000 $,< 7 anos,2,masc-divorciado,n/há,4,imovel,61,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,30,conta critica / dividas com terceiros,carro novo,5234,< 100 $,desempregado,4,masc-casadoouviuvo,n/há,2,carro ou outros-quitado,28,n/há,própria,2,empresario-gerente-altaqualificacao,1,não,sim,2
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),carro novo,1295,< 100 $,< 1 ano,3,femi-divorciadaoucasada,n/há,1,carro ou outros-quitado,25,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
< 0 $,48,pgto em dia neste banco (em aberto),negocios,4308,< 100 $,< 1 ano,3,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,24,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),radio ou televisao,1567,< 100 $,< 4 anos,1,femi-divorciadaoucasada,n/há,1,carro ou outros-quitado,22,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,24,conta critica / dividas com terceiros,carro novo,1199,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,60,n/há,própria,2,empregado-semformacao-residente,1,não,sim,2
< 0 $,15,pgto em dia neste banco (em aberto),carro novo,1403,< 100 $,< 4 anos,2,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,28,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,24,pgto em dia neste banco (em aberto),radio ou televisao,1282,>= 100 < 500 $,< 4 anos,4,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,32,n/há,própria,1,empregado-semformacao-residente,1,não,sim,2
n/há,24,conta critica / dividas com terceiros,radio ou televisao,2424,n/há,>= 7 anos,4,masc-solteiro,n/há,4,poupança ou seguro de vida,53,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,30,nenhum/pgto em dia,negocios,8072,n/há,< 1 ano,2,masc-solteiro,n/há,3,carro ou outros-quitado,25,banco,própria,3,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,24,pgto em dia neste banco (em aberto),carro usado,12579,< 100 $,>= 7 anos,4,femi-divorciadaoucasada,n/há,2,n/há,44,n/há,gratuita,1,empresario-gerente-altaqualificacao,1,sim,sim,2
n/há,24,pgto em dia neste banco (em aberto),radio ou televisao,3430,>= 500 < 1000 $,>= 7 anos,3,masc-solteiro,n/há,2,carro ou outros-quitado,31,n/há,própria,1,empregado-formadoouservidorpublico,2,sim,sim,1
n/há,9,conta critica / dividas com terceiros,carro novo,2134,< 100 $,< 4 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,48,n/há,própria,3,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,6,pgto em dia neste banco (em aberto),radio ou televisao,2647,>= 500 < 1000 $,< 4 anos,2,masc-solteiro,n/há,3,imovel,44,n/há,aluguel,1,empregado-formadoouservidorpublico,2,não,sim,1
< 0 $,10,conta critica / dividas com terceiros,carro novo,2241,< 100 $,< 1 ano,1,masc-solteiro,n/há,3,imovel,48,n/há,aluguel,2,empregado-semformacao-residente,2,não,não,1
>= 0 < 200 $,12,conta critica / dividas com terceiros,carro usado,1804,>= 100 < 500 $,< 1 ano,3,masc-solteiro,n/há,4,poupança ou seguro de vida,44,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,10,conta critica / dividas com terceiros,moveis e equipamentos,2069,n/há,< 4 anos,2,masc-casadoouviuvo,n/há,1,carro ou outros-quitado,26,n/há,própria,2,empregado-formadoouservidorpublico,1,não,não,1
< 0 $,6,pgto em dia neste banco (em aberto),moveis e equipamentos,1374,< 100 $,< 4 anos,1,masc-solteiro,n/há,2,imovel,36,banco,própria,1,empregado-semformacao-residente,1,sim,sim,1
n/há,6,nenhum/pgto em dia,radio ou televisao,426,< 100 $,>= 7 anos,4,masc-casadoouviuvo,n/há,4,carro ou outros-quitado,39,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
>= 200 $,12,pgto em dia neste banco (quitado),radio ou televisao,409,>= 1000 $,< 4 anos,3,femi-divorciadaoucasada,n/há,3,imovel,42,n/há,aluguel,2,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,7,pgto em dia neste banco (em aberto),radio ou televisao,2415,< 100 $,< 4 anos,3,masc-solteiro,garantidor,2,imovel,34,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,60,pgto em atraso no passado,negocios,6836,< 100 $,>= 7 anos,3,masc-solteiro,n/há,4,n/há,63,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,2
>= 0 < 200 $,18,pgto em dia neste banco (em aberto),negocios,1913,>= 1000 $,< 1 ano,3,masc-casadoouviuvo,n/há,3,imovel,36,banco,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,24,pgto em dia neste banco (em aberto),moveis e equipamentos,4020,< 100 $,< 4 anos,2,masc-solteiro,n/há,2,carro ou outros-quitado,27,loja,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,18,pgto em dia neste banco (em aberto),carro novo,5866,>= 100 < 500 $,< 4 anos,2,masc-solteiro,n/há,2,carro ou outros-quitado,30,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
